code_hs	designation	unite_us	taux_dd	categorie	statut
0101.21.00.00	-- Reproducteurs de race pure	u	5.00	1	actif
0101.29.00.00	-- Autres - Anes :	u	10.00	2	actif
0101.30.10.00	-- Reproducteurs de race pure	u	5.00	1	actif
0101.30.90.00	-- Autres	u	10.00	2	actif
0101.90.00.00	- Autres Animaux vivants de l'espèce bovine. - Bovins domestiques :	u	10.00	2	actif
0102.21.00.00	-- Reproducteurs de race pure	u	5.00	1	actif
0102.29.00.00	-- Autres - Buffles :	u	10.00	2	actif
0102.31.00.00	-- Reproducteurs de race pure	u	5.00	1	actif
0102.39.00.00	-- Autres	u	10.00	2	actif
0102.90.00.00	- Autres Animaux vivants de l'espèce porcine.	u	10.00	2	actif
0103.10.00.00	- Reproducteurs de race pure - Autres :	u	5.00	1	actif
0103.91.00.00	-- D'un poids inférieur à 50 kg	u	10.00	2	actif
0103.92.00.00	-- D'un poids égal ou supérieur à 50 kg Animaux vivants des espèces ovine ou caprine. - De l'espèce ovine :	u	10.00	2	actif
0104.10.10.00	-- Reproducteurs de race pure	u	5.00	1	actif
0104.10.90.00	-- Autres - De l'espèce caprine :	u	10.00	2	actif
0104.20.10.00	-- Reproducteurs de race pure	u	5.00	1	actif
0104.20.90.00	-- Autres Coqs, poules, canards, oies, dindons, dindes et pintades, vivants, des espèces domestiques. - D'un poids n'excédant pas 185 g : -- Volailles de l'espèce Gallus domesticus :	u	10.00	2	actif
0105.11.10.00	--- Reproducteurs	u	5.00	1	actif
0105.11.90.00	--- Autres	u	10.00	2	actif
0105.12.00.00	-- Dindes et dindons	u	5.00	1	actif
0105.13.00.00	-- Canards	u	5.00	1	actif
0105.14.00.00	-- Oies	u	5.00	1	actif
0105.15.00.00	-- Pintades - Autres :	u	5.00	1	actif
0105.94.00.00	-- Volailles de l'espèce Gallus domesticus	u	10.00	2	actif
0105.99.00.00	-- Autres Autres animaux vivants. - Mammifères :	u	10.00	2	actif
0106.11.00.00	-- Primates	u	10.00	2	actif
0106.12.00.00	-- Baleines, dauphins et marsouins (mammifères de l'ordre Cetacea); lamantins et dugongs (mammifères de l'ordre Sirenia) ; otaries et phoques, lions de mer et morses (mammifères du sous-ordre Pinnipedia)	u	10.00	2	actif
0106.13.00.00	-- Chameaux et autres camélidés (Camelidae)	u	10.00	2	actif
0106.14.00.00	-- Lapins et lièvres	u	10.00	2	actif
0106.19.00.00	-- Autres	u	10.00	2	actif
0106.20.00.00	- Reptiles (y compris les serpents et les tortues de mer) - Oiseaux :	u	10.00	2	actif
